age,ittiham_derece,race,sex,onceki_cinayetler,saxlanma_gun_ferqi,risk_bal,risk_qiymeti,yeniden_cinayat
34,F,African-American,Male,0,-1.0,3,Low,1
24,F,African-American,Male,4,-1.0,4,Low,1
41,F,Caucasian,Male,14,-1.0,6,Medium,1
39,M,Caucasian,Female,0,-1.0,1,Low,0
27,F,Caucasian,Male,0,-1.0,4,Low,0
23,M,African-American,Male,3,0.0,6,Medium,1
37,M,Caucasian,Female,0,0.0,1,Low,0
41,F,African-American,Male,0,-1.0,4,Low,0
47,F,Caucasian,Female,1,-20.0,1,Low,1
31,F,African-American,Male,7,22.0,3,Low,1
25,F,African-American,Male,3,-1.0,10,High,0
31,F,Caucasian,Male,6,-1.0,5,Medium,1
31,F,Caucasian,Male,5,-1.0,3,Low,1
64,F,African-American,Male,13,-1.0,6,Medium,1
21,F,African-American,Male,1,-1.0,9,High,1
27,M,Caucasian,Male,0,0.0,2,Low,1
21,F,Caucasian,Female,0,-2.0,4,Low,0
43,M,Caucasian,Male,1,-1.0,1,Low,0
27,F,African-American,Male,8,-1.0,3,Low,1
26,F,African-American,Male,5,-1.0,7,Medium,1
33,F,African-American,Male,0,0.0,10,High,1
30,F,Caucasian,Male,9,0.0,9,High,1
32,F,African-American,Male,4,-1.0,8,High,1
55,F,Caucasian,Male,0,-1.0,1,Low,0
33,M,Caucasian,Female,4,-1.0,5,Medium,1
24,M,Caucasian,Male,1,0.0,2,Low,1
34,F,African-American,Male,21,0.0,9,High,1
29,M,Caucasian,Male,0,0.0,2,Low,0
21,F,African-American,Female,2,-1.0,8,High,0
51,M,African-American,Male,2,-1.0,1,Low,0
29,M,Caucasian,Male,2,-1.0,2,Low,1
51,F,African-American,Female,7,-1.0,2,Low,0
29,F,African-American,Male,0,0.0,7,Medium,1
25,M,Caucasian,Male,9,-1.0,10,High,1
35,F,African-American,Male,13,-1.0,8,High,1
49,M,Caucasian,Male,0,0.0,1,Low,0
29,F,African-American,Male,0,0.0,4,Low,0
29,F,Caucasian,Male,1,-24.0,2,Low,1
31,F,African-American,Male,15,-1.0,5,Medium,0
24,F,African-American,Male,2,-1.0,4,Low,1
49,M,African-American,Male,4,-1.0,1,Low,0
53,F,Caucasian,Male,8,-13.0,5,Medium,0
35,F,African-American,Male,5,-1.0,3,Low,0
27,F,African-American,Male,15,-1.0,10,High,1
38,M,Caucasian,Male,4,-1.0,2,Low,1
22,F,African-American,Male,1,-1.0,4,Low,1
29,F,African-American,Male,4,-1.0,9,High,1
27,F,African-American,Male,6,0.0,6,Medium,1
56,M,African-American,Female,0,0.0,1,Low,0
39,M,African-American,Male,1,-1.0,4,Low,0
